micrograph_no,brief_description,keywords,categories,system,composition,standard_codes,reaction,processing,applications,sample_preparation,technique,length_bar,further_information,contributor,organisation,image_url,image_local_path,page_url
192,"Doloma, (Ca,Mg)O","calcia, ceramic , doloma, lime , magnesia, periclase",Ceramic,"(Ca,Mg)O","CaO 57, MgO 41 (wt%), + Fe2O3, SiO2 and Al2O3 (typical)",,,Formed by calcining dolomite ore > 900ÂºC. CO2 is given off as the single-phase carbonate decomposes to form the two phase oxide ceramic.,Used as an additive to control slag basicity in steelmaking and in basic refractories.,Polished and unetched.,Scanning electron microscopy (SEM) in backscattered electron imaging (BEI) mode,30 μm,Note the two phase microstructure formed on calcining the single phase dolomite ore. The light continuous matrix is lime (CaO or calcia) while the dark isolated phase is periclase (MgO or magnesia).,Prof W E Lee,"Department of Engineering Materials, University of Sheffield",https://www.doitpoms.ac.uk/miclib/micrographs/large/000192.gif,./miclib_output/images/000192.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=192
193,MgO-C Refractory Brick,"brick , carbon, ceramic , composite material , graphite , magnesia, refractory","Ceramic, Composite",MgO-C,"MgO 50-90, C 8-37 (wt%), remainder Al, Si metal addition",,,"Natural graphite flakes are mixed with MgO aggregate, metal powder and phenolic resin binder. Bricks are pressed and heated to cure and decompose the resin before in situ firing in reducing atmosphere. The metal additions getter oxygen forming ceramic phases at high temperature so protecting the carbon from oxidation and acting as a bond improving hot strength.","Linings of primary steelmaking furnaces, all areas of basic oxygen furnaces and at the slag line of electric arc furnaces.",Polished and unetched.,Reflected light microscopy,200 μm,"This micrograph is of a specimen which has been pressed from either side during fabrication, with the bright graphite flakes appearing edge on. Compare with micrograph 194.

The MgO grain is polycrystalline and porous. The anisometric microstructure means the brick properties are anisotropic and so the bricks orientation must be carefully controlled on installation. These are true composite materials using ceramic (MgO, natural graphite), metal (Si, Al additives), and polymer (phenolic resin) components.",Prof W E Lee,"Department of Engineering Materials, University of Sheffield",https://www.doitpoms.ac.uk/miclib/micrographs/large/000193.gif,./miclib_output/images/000193.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=193
194,MgO-C Refractory Brick,"brick , carbon, ceramic , composite material , graphite , magnesia, refractory","Ceramic, Composite",MgO-C,"MgO 50-90, C 8-37 (wt%), remainder Al, Si metal addition",,,"Natural graphite flakes are mixed with MgO aggregate, metal powder and phenolic resin binder. Bricks are pressed and heated to cure and decompose the resin before in situ firing in reducing atmosphere. The metal additions getter oxygen forming ceramic phases at high temperature so protecting the carbon from oxidation and acting as a bond improving hot strength.","Linings of primary steelmaking furnaces, all areas of basic oxygen furnaces and at the slag line of electric arc furnaces.",Polished and unetched.,Reflected light microscopy,200 μm,"This micrograph is of a specimen which has been pressed parallel with your nose (into the screen) during fabrication, with the bright graphite flakes appearing face on. Compare with micrograph 193.

The MgO grain is polycrystalline and porous. The anisometric microstructure means the brick properties are anisotropic and so the bricks orientation must be carefully controlled on installation. These are true composite materials using ceramic (MgO, natural graphite), metal (Si, Al additives), and polymer (phenolic resin) components.",Prof W E Lee,"Department of Engineering Materials, University of Sheffield",https://www.doitpoms.ac.uk/miclib/micrographs/large/000194.gif,./miclib_output/images/000194.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=194
195,Zirconia Toughened Alumina (ZTA),"alumina , ceramic , composite material , toughness , zirconia","Ceramic, Composite",ZrO2-Al2O3,"ZrO2 5-30, Al2O3 70-95 (wt%)",,,Oxide powder mixtures are hot pressed or pressureless sintered at <1600ÂºC.,"Wear, bearing and pump components and in cutting tools.",Polished and unetched.,Scanning electron microscopy (SEM) in backscattered electron imaging (BEI) mode,10 μm,"The ZrO2 addition to Al2O3 increases its toughness via the tetragonal to monoclinic ZrO2 transformation, so called transformation toughening and microcracking. The bright zirconia can be inter- or intra-granular.",Prof W E Lee,"Department of Engineering Materials, University of Sheffield",https://www.doitpoms.ac.uk/miclib/micrographs/large/000195.gif,./miclib_output/images/000195.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=195
196,Tetragonal Zirconia Polycrystals (TZP),"ceramic , engineering ceramic, tough ceramic, toughness , zirconia",Ceramic,ZrO2-Y2O3,"Y2O3 2-3, ZrO2 96-97 (wt%)",,,Pressed powder mixtures sintered at 1400-1550ÂºC.,"Where toughness, wear-resistance and refractoriness are needed e.g. extrusion dies, machinery wear parts and piston caps.","Grind, polish, ion thin and carbon coat.",Bright-field TEM,600 nm,"The comparatively low sintering temperature allows very fine grained (sub-micron), dense and so high strength as well as tough ceramics to be produced. The microstructure shows equiaxed, fine grains with little evidence of weakening grain boundary phases. Such microstructures have some of the highest values of toughness achieved in ceramics.",Prof W E Lee,"Department of Engineering Materials, University of Sheffield",https://www.doitpoms.ac.uk/miclib/micrographs/large/000196.gif,./miclib_output/images/000196.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=196
197,Partially Stabilised Zirconia (PSZ),"ceramic , engineering ceramic, tough ceramic, toughness , zirconia",Ceramic,ZrO2-MgO,"MgO 2.5-3.6, ZrO2 97.5-96.4 (wt%)",,,All commercial PSZâ€™s require a solution heat treatment at above about 1750ÂºC to develop a supersaturated solid solution prior to an ageing cycle which ideally forms tetragonal ZrO2 precipitates in a cubic matrix. Typical ageing temperatures are 1400-1500ÂºC.,"Hip prostheses, thermal barrier coatings on turbine blades, feeler gauges, drawing dies.","Grind, polish, ion thin and carbon coat.",Bright-field TEM,300 nm,"The image shows cross sections through the oblate spheroid (like Smarties or M and Mâ€™s) tetragonal precipitates in the cubic matrix. On interaction with a propagating crack these transform to monoclinic symmetry expanding to close the crack so increasing toughness, so-called transformation toughening.",Prof W E Lee,"Department of Engineering Materials, University of Sheffield",https://www.doitpoms.ac.uk/miclib/micrographs/large/000197.gif,./miclib_output/images/000197.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=197
198,96% Alumina,"alumina , ceramic , engineering ceramic",Ceramic,Al2O3,"Al2O3 96%, remainder MgO, CaO, SiO2",,,"Fine sub-micron oxide powders such as lime, silica and periclase are mixed with the coarser alumina and fired so they melt and partially react with the alumina forming a liquid phase, which acts to densify the ceramic by capillary action (liquid phase sintering).",Seals and bearings in corrosive fluid handling systems. Electrical insulation e.g. in fluorescent light tubes.,Grind and polish. Thermally etch for 10 mins at about 50ÂºC below sintering temperature.,Reflected light microscopy,250 μm,The image shows the classic angular shape of corundum (alumina) grains formed in a liquid medium. The intergranular regions are dark and contain the aluminosilicate glass left from the cooled liquid. This liquid will soften at high temperature and limit the maximum use temperature of the ceramic.,Prof W E Lee,"Department of Engineering Materials, University of Sheffield",https://www.doitpoms.ac.uk/miclib/micrographs/large/000198.gif,./miclib_output/images/000198.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=198
199,BaTiO3 Temperature-stable dielectric capacitor,"alumina , ceramic , engineering ceramic",Ceramic,"BaTiO3 + other oxides such as Nb2O5, Bi2O3",BaTiO3 95-97 (wt%),,,Fine oxide additives react with BaTiO3 powder forming a series of phases which act as the source for the dopants.,Temperature stable X7R capacitors in millions of electrical circuits.,"Grind, polish, ion thin and carbon coat.",Bright-field TEM,1 μm,"The image shows a single representative grain within the polycrystalline ceramic. The core region shows ferroelectric domains from the pure, tetragonal BaTiO3 centre. The shell region contains Nb and Bi dopant which make it cubic, paraelectric and also stacking faults associated with their presence. The heterogeneous nature of the microstructure confers the temperature stability on the ceramic.",Prof W E Lee,"Department of Engineering Materials, University of Sheffield",https://www.doitpoms.ac.uk/miclib/micrographs/large/000199.gif,./miclib_output/images/000199.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=199
200,,,,,,,,,,,,,,,,,,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=200
201,"Normalised low carbon steel, showing directionality","alloy , carbon, directionality, iron, metal, normalising , steel",Metal or alloy,Fe-C-X,Wrought iron (plain carbon steel),,,Hot wrought normalised 950 ÂºC,,Nital,Reflected light microscopy,400 μm,"Wrought iron contains a very low amount of carbon. The resulting microstructure is therefore virtually all of the ferrite phase, since upon reaching the eutectic temperature virtually all of the austenite will have transformed to ferrite.

The remainder of the microstructure consists of stringers of slag, which are unaffected by normalisation.",Dr R F Cochrane,"Department of Materials, University of Leeds",https://www.doitpoms.ac.uk/miclib/micrographs/large/000201.jpg,./miclib_output/images/000201.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=201
202,"Normalised low carbon steel, showing directionality","alloy , carbon, directionality, iron, metal, normalising , steel",Metal or alloy,Fe-C-X,Wrought iron (plain carbon steel),,,Hot wrought normalised 950 ÂºC,,Nital,Reflected light microscopy,200 μm,"Wrought iron contains a very low amount of carbon. The resulting microstructure is therefore virtually all of the ferrite phase, since upon reaching the eutectic temperature virtually all of the austenite will have transformed to ferrite.

The remainder of the microstructure consists of stringers of slag, which are unaffected by normalisation.",Dr R F Cochrane,"Department of Materials, University of Leeds",https://www.doitpoms.ac.uk/miclib/micrographs/large/000202.jpg,./miclib_output/images/000202.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=202
203,"Normalised low carbon manganese steel, showing directionality","alloy , carbon, directionality, iron, metal, normalising , steel",Metal or alloy,Fe-C-X,"Fe, C 0.1, Mn 1, S 0.5 (wt%)",,,Hot worked normalised 1000 ÂºC,,Nital,Reflected light microscopy,400 μm,"Low carbon steel with a microstructure consisting mostly of ferrite. Manganese is added to steel to remove oxygen and sulphur. It causes a reduction in the resulting grain size and hence the steel is tougher and stronger. This sample has been normalised, recrystallising the ferrite. The pearlite is unable to do this and consequently retains its directionality.",Dr R F Cochrane,"Department of Materials, University of Leeds",https://www.doitpoms.ac.uk/miclib/micrographs/large/000203.jpg,./miclib_output/images/000203.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=203
204,"Normalised low carbon manganese steel, showing directionality","alloy , carbon, directionality, iron, metal, normalising , steel",Metal or alloy,Fe-C-X,"Fe, C 0.1, Mn 1, S 0.5 (wt%)",,,Hot worked normalised 1000 ÂºC,,Nital,Reflected light microscopy,200 μm,"Low carbon steel with a microstructure consisting mostly of ferrite. Manganese is added to steel to remove oxygen and sulphur. It causes a reduction in the resulting grain size and hence the steel is tougher and stronger. This sample has been normalised, recrystallising the ferrite. The pearlite is unable to do this and consequently retains its directionality.",Dr R F Cochrane,"Department of Materials, University of Leeds",https://www.doitpoms.ac.uk/miclib/micrographs/large/000204.jpg,./miclib_output/images/000204.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=204
